iter	Passed	Remaining
0	1	134
1	2	118
2	3	108
3	4	100
4	5	107
5	6	104
6	7	101
7	8	100
8	9	98
9	10	96
10	11	94
11	12	92
12	13	89
13	14	87
14	15	85
15	15	83
16	16	82
17	17	80
18	18	78
19	19	79
20	20	78
21	22	78
22	23	77
23	24	76
24	25	75
25	26	75
26	27	75
27	28	74
28	30	73
29	30	72
30	31	70
31	32	69
32	33	67
33	34	66
34	34	64
35	36	64
36	37	63
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	45	53
46	46	52
47	47	51
48	48	50
49	50	50
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	68	28
71	69	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	89	4
95	91	3
96	91	2
97	92	1
98	93	0
99	94	0
