iter	Passed	Remaining
0	150	149988
1	151	75638
2	153	50986
3	154	38570
4	156	31090
5	157	26113
6	159	22555
7	160	19895
8	161	17787
9	162	16077
10	163	14679
11	164	13520
12	165	12545
13	166	11713
14	167	10988
15	168	10357
16	169	9783
17	169	9265
18	170	8794
19	170	8370
20	171	7987
21	171	7639
22	172	7321
23	172	7030
24	173	6761
25	173	6514
26	174	6284
27	174	6072
28	175	5874
29	175	5688
30	176	5514
31	176	5351
32	177	5198
33	177	5054
34	178	4918
35	178	4789
36	179	4668
37	179	4553
38	180	4447
39	181	4353
40	182	4261
41	183	4176
42	183	4086
43	184	4000
44	184	3920
45	185	3842
46	185	3768
47	186	3695
48	186	3626
49	187	3559
50	187	3495
51	188	3439
52	189	3380
53	189	3323
54	190	3267
55	190	3215
56	191	3163
57	191	3113
58	192	3065
59	192	3019
60	193	2974
61	193	2930
62	194	2888
63	194	2848
64	195	2815
65	196	2783
66	197	2748
67	197	2711
68	198	2676
69	198	2641
70	199	2608
71	199	2575
72	200	2544
73	200	2514
74	201	2484
75	202	2460
76	203	2435
77	203	2407
78	204	2380
79	204	2353
80	205	2327
81	205	2302
82	205	2274
83	206	2250
84	206	2227
85	207	2205
86	207	2182
87	208	2160
88	209	2139
89	209	2119
90	210	2101
91	211	2083
92	211	2067
93	212	2048
94	213	2029
95	213	2010
96	214	1993
97	214	1975
98	215	1957
99	215	1940
100	216	1924
101	216	1907
102	217	1891
103	217	1875
104	218	1860
105	218	1845
106	219	1830
107	219	1815
108	220	1801
109	220	1787
110	221	1772
111	221	1759
112	222	1745
113	222	1731
114	223	1718
115	223	1705
116	224	1692
117	224	1681
118	225	1672
119	226	1663
120	227	1651
121	227	1639
122	228	1627
123	228	1615
124	229	1604
125	229	1593
126	230	1582
127	230	1572
128	231	1561
129	231	1551
130	232	1540
131	232	1530
132	233	1520
133	233	1510
134	234	1500
135	234	1490
136	235	1481
137	235	1472
138	236	1462
139	236	1453
140	237	1444
141	237	1434
142	238	1426
143	238	1418
144	239	1409
145	239	1402
146	240	1396
147	241	1389
148	241	1381
149	242	1374
150	243	1366
151	243	1360
152	244	1354
153	245	1347
154	245	1340
155	246	1333
156	246	1325
157	247	1318
158	247	1311
159	248	1304
160	248	1296
161	249	1289
162	249	1282
163	250	1275
164	250	1268
165	251	1262
166	251	1255
167	252	1248
168	252	1242
169	253	1236
170	253	1229
171	254	1223
172	255	1219
173	256	1215
